"Date","Price","Open","High","Low","Vol.","Change %"
"11-10-2021","1,415.20","1,367.10","1,420.00","1,345.00","121.93K","1.51%"
"08-10-2021","1,394.10","1,420.00","1,424.00","1,358.00","473.09K","-2.18%"
"07-10-2021","1,425.20","1,410.00","1,430.80","1,394.00","186.42K","1.23%"
"06-10-2021","1,407.85","1,439.45","1,439.45","1,391.00","90.63K","-0.58%"
"05-10-2021","1,416.10","1,414.95","1,445.00","1,405.00","424.07K","0.44%"
"04-10-2021","1,409.85","1,430.00","1,433.00","1,401.00","366.58K","-0.97%"
"01-10-2021","1,423.60","1,425.00","1,433.10","1,400.05","506.28K","0.03%"
"30-09-2021","1,423.15","1,419.50","1,431.75","1,395.00","575.93K","0.37%"
"29-09-2021","1,417.85","1,383.25","1,425.50","1,350.00","501.52K","0.59%"
"28-09-2021","1,409.50","1,427.95","1,455.00","1,380.00","610.85K","-0.66%"
"27-09-2021","1,418.85","1,380.00","1,422.00","1,380.00","512.85K","1.15%"
"24-09-2021","1,402.70","1,403.00","1,425.20","1,382.00","544.27K","0.01%"
"23-09-2021","1,402.50","1,380.00","1,420.00","1,375.00","533.73K","1.73%"
"22-09-2021","1,378.70","1,390.00","1,416.00","1,370.00","479.99K","-2.05%"
"21-09-2021","1,407.55","1,365.00","1,422.00","1,361.40","396.44K","1.06%"
"20-09-2021","1,392.80","1,350.00","1,446.00","1,341.00","437.65K","-1.11%"
"17-09-2021","1,408.40","1,440.90","1,450.00","1,381.00","828.24K","-1.80%"
"16-09-2021","1,434.25","1,370.00","1,439.00","1,360.35","442.28K","1.92%"
"15-09-2021","1,407.25","1,380.00","1,411.05","1,355.00","219.87K","2.35%"
"14-09-2021","1,375.00","1,369.95","1,385.10","1,340.00","266.03K","-0.05%"
"13-09-2021","1,375.65","1,348.00","1,388.00","1,333.90","372.30K","-1.16%"
"09-09-2021","1,391.75","1,381.00","1,410.00","1,339.00","243.24K","-0.48%"
"08-09-2021","1,398.45","1,267.55","1,400.95","1,267.55","352.72K","4.81%"
"07-09-2021","1,334.25","1,370.00","1,376.40","1,334.25","104.16K","-5.00%"
"06-09-2021","1,404.45","1,467.70","1,467.85","1,403.55","322.77K","-4.94%"
"03-09-2021","1,477.40","1,479.50","1,485.00","1,405.55","336.19K","-0.14%"
"02-09-2021","1,479.50","1,473.00","1,514.00","1,436.55","397.73K","-2.07%"
"01-09-2021","1,510.85","1,525.10","1,525.10","1,461.00","770.28K","4.02%"
"31-08-2021","1,452.50","1,394.00","1,452.55","1,353.00","1.16M","4.99%"
"30-08-2021","1,383.40","1,319.40","1,386.70","1,257.55","363.61K","4.75%"
"27-08-2021","1,320.70","1,369.00","1,369.00","1,238.75","679.28K","1.29%"
"26-08-2021","1,303.90","1,303.90","1,303.90","1,266.70","627.96K","5.00%"
"25-08-2021","1,241.85","1,241.85","1,241.85","1,241.85","118.70K","5.00%"
"24-08-2021","1,182.75","1,182.00","1,182.75","1,170.00","121.45K","5.00%"
"23-08-2021","1,126.45","1,126.00","1,126.45","1,084.00","208.48K","5.00%"
"20-08-2021","1,072.85","1,072.85","1,072.85","1,042.25","151.11K","5.00%"
"18-08-2021","1,021.80","988.50","1,021.80","980.10","206.24K","5.00%"
